,amp,camera,cti_x,cti_x_err,cti_y,cti_y_err,frame,inter_x,inter_x_err,inter_y,inter_y_err,n_hits,slope_x,slope_x_err,slope_y,slope_y_err
0,0,1,1.761459919011878e-06,1.579747874589755e-07,1.651655929104942e-06,8.876904106921328e-08,1,1616.6689000317115,0.004821495643815235,1613.4546509004967,0.007188605680035026,620,0.002853565068799242,6.358362542808309e-06,0.002675682605150006,3.572884982308167e-06
1,0,1,1.1158866795688401e-05,1.4552448363696955e-07,1.0554689820921526e-06,8.856030342802487e-08,2,1606.5502349492094,0.0045265893496980215,1616.703805628315,0.007186847797327478,678,0.01807736420901521,5.857247480450756e-06,0.001709859750989287,3.564483454315283e-06
2,0,1,1.1069058253063682e-05,1.0659975343834326e-07,4.268854005797427e-06,5.7990821849713375e-08,3,1606.1385317166375,0.0034241323286981484,1606.5456453295797,0.004643894917527071,797,0.017931874369963165,4.290557311311345e-06,0.006915543489391832,2.3340855550867057e-06
3,0,1,6.334530955636579e-06,1.2450768983017596e-07,3.967013103692682e-06,7.564715769344102e-08,4,1612.9479865287215,0.003891664062736785,1607.9181374681527,0.006137662910611386,910,0.010261940148131258,5.011337847271189e-06,0.006426561227982144,3.044739364329246e-06
4,0,1,-7.41344590315834e-07,1.474075752531175e-07,4.044177341564281e-06,7.757131058629581e-08,5,1620.2931696013463,0.004606066932076167,1606.3139946276729,0.00630080888598615,679,-0.0012009782363116511,5.933040455958957e-06,0.006551567293334135,3.1221850243447172e-06
5,0,1,-1.3838722691515923e-06,1.6364550710091656e-07,-4.759681448968096e-06,8.097908369765907e-08,6,1621.7226937904334,0.005216697343850646,1635.365688316267,0.006561203669799182,733,-0.0022418730760255796,6.586604605621332e-06,-0.007710683947328315,3.259345246264993e-06
6,0,1,5.3773854354741396e-06,1.2486245053385873e-07,-6.487679427342104e-06,6.281847109071543e-08,7,1614.6577481955349,0.003921988358438822,1642.3820170750155,0.005128903378134367,598,0.008711364405468106,5.025616690156435e-06,-0.010510040672294208,2.5283946888260113e-06
7,0,1,9.883664175134016e-06,1.1080865509113163e-07,-3.4901137921421557e-06,6.511768171753248e-08,8,1607.0996898228484,0.00350049854813919,1630.4951627683472,0.005181660659040046,742,0.016011535963717106,4.459962335023773e-06,-0.005653984343270292,2.6209361314367624e-06
8,0,1,6.797015746889322e-06,1.2236405253207203e-07,-3.8802826729359415e-06,6.914224076006233e-08,9,1614.4463014541961,0.003831914192057397,1635.166762356363,0.00551058624036974,776,0.011011165509960702,4.92505811035323e-06,-0.006286057930156226,2.7829215082108097e-06
9,0,1,2.771065190425783e-06,1.3720214754513925e-07,-6.115540881330176e-06,7.726051923091883e-08,10,1617.0161903493374,0.004423893953828315,1639.9648912894231,0.006144046872640533,857,0.004489125608489768,5.522279914257971e-06,-0.009907176227754885,3.1096759135907574e-06
10,0,1,1.2083134294169746e-05,1.3160236234460758e-07,-2.8548720968091883e-06,7.17001044393791e-08,11,1606.869048620522,0.004070856404402972,1630.8325029977873,0.00588888202651511,738,0.019574677556554988,5.296892907637821e-06,-0.004624892796830885,2.8858735353651504e-06
11,0,1,-3.194068161078571e-05,4.941463050182112e-07,-6.982232972855225e-06,2.5741730283197767e-07,12,1649.1918236316656,0.013483577257104964,1637.8870495158872,0.021271984400239204,84,-0.051743904209472856,1.9889005119319182e-05,-0.011311217416025464,1.0360846578905122e-05
12,0,1,3.424184839058754e-06,1.442404625421403e-07,4.286890919326127e-06,8.195819792123425e-08,13,1617.3709477626594,0.004627943897518056,1607.3839688344488,0.006864282846069464,809,0.0055471794392751815,5.805566628304281e-06,0.006944763289308327,3.2987538335747112e-06
13,0,1,8.278927423160473e-06,1.645854504037415e-07,2.8959258282054514e-06,8.780481101507304e-08,16,1609.673367910995,0.005455691375021332,1611.1583464984117,0.007114169551474383,535,0.013411862425519965,6.624436593783352e-06,0.0046913998416928315,3.5340754712620617e-06
14,0,1,1.513154759595945e-07,1.0076480844770717e-07,5.008875778827319e-07,6.165430077991348e-08,17,1619.4535293461877,0.003197321852717605,1617.972986588291,0.005151227621507342,885,0.0002451310710545431,4.0557053057187295e-06,0.0008114378761700256,2.481537737683887e-06
15,0,1,1.4751951723104908e-05,1.2243778319071427e-07,5.402561939658974e-06,6.779772372400317e-08,18,1604.8816311328162,0.003957028042521245,1606.0242052207843,0.00556824928060744,756,0.02389816179142995,4.928025712118728e-06,0.008752150342247538,2.728805741399183e-06
16,0,1,4.612476108158767e-06,1.0727606344973663e-07,6.313070666760376e-07,6.430139352482574e-08,19,1612.9319876858956,0.003223593926186097,1616.3126523243868,0.00521354405217502,699,0.007472211295217202,4.317778264179451e-06,0.001022717448015181,2.588081165450553e-06
17,0,1,-1.5337686078804746e-06,1.1466917996412996e-07,6.731297663976424e-07,7.32779236736796e-08,20,1622.196873779555,0.003525415228381901,1618.1382585404742,0.006057089981769104,906,-0.002484705144766369,4.615345463831127e-06,0.0010904702215641807,2.9493795345189967e-06
18,0,1,9.880050929957443e-06,1.2812973956202807e-07,1.1582560833619077e-07,6.775724200086422e-08,22,1608.8099346205865,0.0041813547591657806,1621.2084241462398,0.005391792069143156,749,0.016005682506531057,5.157122536800701e-06,0.00018763748550462903,2.727176383473053e-06
19,0,1,1.018402511737356e-05,1.1182373792866724e-07,-2.6355945671313186e-06,6.103487083439636e-08,23,1606.8641666382384,0.003602137359505204,1628.5080389819218,0.005067759521482196,775,0.016498120690145168,4.5008186311191865e-06,-0.004269663198752736,2.4566061633053324e-06
20,0,1,1.3706319221392017e-05,1.0749823760736904e-07,-5.3589200333168596e-06,6.36211370035343e-08,24,1602.9846515937052,0.00328211293796631,1637.2717506095835,0.005306553463840617,863,0.022204237138655068,4.326720601527027e-06,-0.008681450453973312,2.56070136862314e-06
21,0,1,6.3362137141465985e-06,1.1765268517703917e-07,-4.80569268882767e-06,6.873663762941734e-08,25,1614.6867385641276,0.0036677253999143366,1638.0713027464085,0.005593575654287556,736,0.01026466621691749,4.735429232242347e-06,-0.007785222155900826,2.7665962971146492e-06
22,1,1,2.786573744926356e-07,1.8608823773950183e-07,4.4478282906376285e-06,8.739905870324205e-08,1,1618.129103643825,0.005854702386975292,1604.0648463695554,0.007105357969850906,523,0.00045142494667806967,7.489907089176023e-06,0.007205481830832958,3.517744255738989e-06
23,1,1,-1.8161531291205597e-06,2.3158804974024373e-07,-7.247381178017451e-06,1.0395028025985507e-07,2,1621.766156686847,0.00759688877244759,1642.727162391521,0.008402245785536359,545,-0.0029421680691753068,9.321239195924175e-06,-0.01174075750838827,4.183918072941428e-06
