,amp,camera,cti_x,cti_x_err,cti_y,cti_y_err,inter_x,inter_x_err,inter_y,inter_y_err,n_hits,slope_x,slope_x_err,slope_y,slope_y_err
0,0,1,9.322709339956921e-07,2.6105645599917224e-08,-1.8710956328890144e-09,1.4950319593590893e-08,1619.5087190283036,0.0008292297389054328,1620.6801624304505,0.0012166709010216707,16278,0.0015102789130730212,1.0507319668427974e-06,-3.031174925280203e-06,6.017387561390928e-07
1,1,1,9.09224744231489e-07,3.335757865480183e-08,-8.352066174823057e-07,1.694675804973499e-08,1619.7109846563112,0.001094485691125146,1623.5883119338068,0.0013717429469328505,13464,0.0014729440856550123,1.342616641864792e-06,-0.0013530347203213353,6.820938539540857e-07
2,0,2,-1.2603187242522371e-05,3.668399238554146e-08,1.211952163841029e-06,1.3016779628996832e-08,1634.6370392045187,0.0011109721525752682,1615.9105481065717,0.0011081742701491372,4542,-0.02041716333288624,1.476502211882797e-06,0.001963362505422467,5.239152737742854e-07
3,1,2,8.209137597091753e-06,2.915127177027211e-08,6.257804977881617e-07,1.0131658590877102e-08,1617.4785434065195,0.0004692867016910346,1619.8501928653277,0.0008630277871115496,5192,0.01329880290728864,1.1733160555601833e-06,0.001013764406416822,4.077913920123768e-07
4,0,3,-4.831746943025514e-06,1.956496753752248e-08,1.236075247048708e-06,9.653700687883504e-09,1625.6058985294944,0.0005754285183722218,1615.8748457131778,0.0008407272776415768,15372,-0.007827430047701332,7.874747530465848e-07,0.002002441900218907,3.8855395750579194e-07
5,1,3,1.9380969830887105e-06,1.3778245724144072e-08,7.332436204102009e-07,7.946028229287795e-09,1619.693501968724,0.00026406155042400776,1618.4575920753002,0.0006884929471008429,21005,0.0031397171126037113,5.545636928978753e-07,0.0011878546650645255,3.1982146689275635e-07
6,2,3,-5.000947359864698e-06,1.7715673137201298e-08,-6.50228831081699e-08,8.529243429760767e-09,1626.9365554438016,0.0005168508909111432,1621.5354763197479,0.0007407085020445638,14528,-0.008101534722980811,7.130420892350832e-07,-0.00010533707063523525,3.432954259005935e-07
7,3,3,3.1788878480460038e-06,1.2876702884315689e-08,-1.661242016348167e-07,7.414253050557553e-09,1618.32165428711,0.0002594537090479308,1621.0973586136668,0.0006527814059322423,19129,0.005149798313834526,5.182772935571549e-07,-0.0002691212066484031,2.9841792882177373e-07
